 INFO [main] 2021-02-25 10:39:51,598 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:39:51,600 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:39:51,600 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:39:51,600 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:41:10,479 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:41:10,479 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:41:10,479 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:41:10,495 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:41:10,495 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:41:10,495 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:41:10,498 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:41:10,499 (SagaShell.java:189): total time cost: 0h 1m 24s
 INFO [main] 2021-02-25 10:41:20,896 (SagaShell.java:119): process argument 'dataset=C:/Users/86189/Desktop/jira'
 INFO [main] 2021-02-25 10:41:20,947 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:41:20,948 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:41:20,948 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:41:20,952 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:41:20,953 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:41:20,967 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:41:20,972 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:41:20,973 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:41:20,992 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:41:20,993 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:41:20,993 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:41:21,000 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:41:21,001 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:41:21,001 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:41:21,001 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:41:21,012 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:41:21,013 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:41:21,013 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:41:21,033 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:41:21,033 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:41:21,033 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:41:21,038 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:41:21,038 (SagaShell.java:189): total time cost: 0h 0m 0s
 INFO [main] 2021-02-25 10:43:02,700 (SagaShell.java:119): process argument 'dataset=C:/Users/86189/Desktop/jira/code-wisdom-jira'
 INFO [main] 2021-02-25 10:43:02,727 (SagaShell.java:119): process argument 'language=java'
 INFO [main] 2021-02-25 10:43:02,727 (SagaShell.java:119): process argument 'extensions=java'
 INFO [main] 2021-02-25 10:43:02,728 (SagaShell.java:119): process argument 'granularity=snippet'
 INFO [main] 2021-02-25 10:43:02,729 (SagaShell.java:119): process argument 'exe=executable/executable_cpu_win10_snippet.exe'
 INFO [main] 2021-02-25 10:43:02,730 (SagaShell.java:119): process argument 'threshold=0.7'
 INFO [main] 2021-02-25 10:43:02,733 (SagaShell.java:54): loading file list...
 INFO [main] 2021-02-25 10:43:02,736 (SagaShell.java:75): 0 files have been loaded
 INFO [main] 2021-02-25 10:43:02,736 (SagaShell.java:82): loading state...
 INFO [main] 2021-02-25 10:43:02,743 (Tokenizer.java:69): ==========================================
 INFO [main] 2021-02-25 10:43:02,743 (Tokenizer.java:70):                  tokenize                 
 INFO [main] 2021-02-25 10:43:02,744 (Tokenizer.java:71): ==========================================
 INFO [main] 2021-02-25 10:43:02,748 (Tokenizer.java:157): tokenIndexList: [-2147483647]
 INFO [main] 2021-02-25 10:43:02,748 (Tokenizer.java:159): total token num is: 0
 INFO [main] 2021-02-25 10:43:02,748 (Tokenizer.java:160): total measure num is: 0
 INFO [main] 2021-02-25 10:43:02,749 (Tokenizer.java:161): total line is: 0
 INFO [main] 2021-02-25 10:43:02,758 (SuffixArrayBuilder.java:23): ==========================================
 INFO [main] 2021-02-25 10:43:02,758 (SuffixArrayBuilder.java:24):                   build                   
 INFO [main] 2021-02-25 10:43:02,758 (SuffixArrayBuilder.java:25): ==========================================
 INFO [main] 2021-02-25 10:43:02,768 (CPUSnippetParser.java:36): ==========================================
 INFO [main] 2021-02-25 10:43:02,768 (CPUSnippetParser.java:37):                   parse                   
 INFO [main] 2021-02-25 10:43:02,768 (CPUSnippetParser.java:38): ==========================================
 INFO [main] 2021-02-25 10:43:02,771 (CPUSnippetParser.java:61): result group: 0
 INFO [main] 2021-02-25 10:43:02,772 (SagaShell.java:189): total time cost: 0h 0m 0s
